Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;12,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;51,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;17,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;20,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;122,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;119,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;69,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;54,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;25,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;39,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;93,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;67,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5221700;Uruana;GO;Centro-Oeste;CENTRO GOIANO;CERES
2020;69,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5221700;Uruana;GO;Centro-Oeste;CENTRO GOIANO;CERES
2020;54,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5221700;Uruana;GO;Centro-Oeste;CENTRO GOIANO;CERES
2020;41,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5221700;Uruana;GO;Centro-Oeste;CENTRO GOIANO;CERES
